bootstrap_id,c_n_per_mm_per_mm_power,exponent_m_for_k_proportional_h_to_m,n_for_k_proportional_h_to_minus_n
43,0.8314870178490786,0.9924551105973262,-0.9924551105973262
44,0.8340079173568916,0.9870862866532507,-0.9870862866532507
45,0.8315840428463841,0.9912698739591532,-0.9912698739591532
46,0.8289411544814361,0.9986355654524552,-0.9986355654524552
47,0.8301066000977063,0.9991525686036534,-0.9991525686036534
48,0.8325534980008608,0.9886800079498406,-0.9886800079498406
49,0.830241013332989,0.9931831970088725,-0.9931831970088725
50,0.8330665797549996,0.9884429535270551,-0.9884429535270551
51,0.8326066892805825,0.9898704265885638,-0.9898704265885638
52,0.8290802090517961,1.0006936561392412,-1.0006936561392412
53,0.834626121777269,0.9856065191194434,-0.9856065191194434
54,0.8327711636440416,0.9885062158217779,-0.9885062158217779
55,0.8327523430987155,0.9922198645420037,-0.9922198645420037
56,0.8325380906548134,0.9891272424823698,-0.9891272424823698
57,0.8336217360670677,0.9876281435248596,-0.9876281435248596
58,0.8329347363202134,0.9888354635676129,-0.9888354635676129
59,0.8328267104877725,0.9903446041493225,-0.9903446041493225
60,0.8305929677642431,0.9929897411197264,-0.9929897411197264
61,0.831587900649656,0.9895708502281207,-0.9895708502281207
62,0.8330416455479408,0.9897142708147944,-0.9897142708147944
63,0.8306803445700511,0.9983106366601212,-0.9983106366601212
64,0.8289139776448093,0.9955733731237117,-0.9955733731237117
65,0.8314868230715255,0.9926362904313605,-0.9926362904313605
66,0.8366179308446396,0.9812584003164982,-0.9812584003164982
67,0.8310977915478421,0.9910462641029714,-0.9910462641029714
68,0.8310993218717465,0.9930604653503038,-0.9930604653503038
69,0.8331156323760162,0.9892265374334775,-0.9892265374334775
70,0.8314816840349384,0.9910319729341305,-0.9910319729341305
71,0.8311672329408137,0.9913262952455733,-0.9913262952455733
72,0.8346273985662298,0.9847311939237058,-0.9847311939237058
73,0.8292893219192323,0.9949039421347821,-0.9949039421347821
74,0.8314007545881108,0.9935226648394064,-0.9935226648394064
75,0.8305856511196293,0.9931509005604482,-0.9931509005604482
76,0.8305541717360131,0.996459457545485,-0.996459457545485
77,0.8315461161559958,0.989245395686612,-0.989245395686612
78,0.8313687202405198,0.9895896778176784,-0.9895896778176784
79,0.8325258680373311,0.990036087283824,-0.990036087283824
80,0.8307710770404977,0.9919159379659306,-0.9919159379659306
81,0.8315763602116366,0.9909868866155291,-0.9909868866155291
82,0.8303075987333048,0.9925261326376231,-0.9925261326376231
83,0.833000682274506,0.9890684716865862,-0.9890684716865862
84,0.8325854523190537,0.9936669994409397,-0.9936669994409397
85,0.8358125718739661,0.9819376268741042,-0.9819376268741042
86,0.8339456982798598,0.9867006203875305,-0.9867006203875305
87,0.832711045042429,0.9905452012049892,-0.9905452012049892
88,0.832463738665406,0.9888531052069266,-0.9888531052069266
89,0.828854064536429,0.9965435693980078,-0.9965435693980078
90,0.8324528147393632,0.9902236926698976,-0.9902236926698976
91,0.8325854523190537,0.9936669994409395,-0.9936669994409395
