source_id,cycle,age_year,strain,stress_mpa,tangent_modulus_mpa,coefficient_a_mpa,coefficient_b
AGE_INFLATION_2010,first_loading,80,0.017,0.0070340564,0.8251135,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0175,0.0074563853,0.86450834,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.018,0.0078988782,0.90578408,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0185,0.0083624978,0.94903052,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.019,0.0088482528,0.99434174,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0195,0.0093572001,1.0418163,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.02,0.0098904469,1.0915576,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0205,0.010449153,1.1436738,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.021,0.011034535,1.1982782,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0215,0.011647866,1.2554897,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.022,0.01229048,1.3154327,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0225,0.012963776,1.3782377,0.0018115,93.28
